delta_r_m,bin_low_m,bin_high_m,count,pdf
0.028782654829818507,0.024807693650357482,0.03339452795284485,1,0.007278584609685023
0.03874536604726284,0.03339452795284485,0.044953574198029714,0,0.0
0.05215652965344804,0.044953574198029714,0.06051362175357869,0,0.0
0.07020977894937656,0.06051362175357869,0.08145956095957523,2,0.005967743855773926
0.09451190661789823,0.08145956095957523,0.10965564247250385,2,0.004433240127451195
0.1272258740337429,0.10965564247250385,0.14761140109783732,3,0.004939961860618789
0.17126332123517338,0.14761140109783732,0.19870501182399466,14,0.017125428944328735
0.23054371151518263,0.19870501182399466,0.2674839574065417,15,0.013630624780003825
0.31034317526875066,0.2674839574065417,0.36006976780856853,37,0.02497682949426747
0.4177641012322634,0.36006976780856853,0.4847028545067638,59,0.029586846460197602
0.5623672701268981,0.4847028545067638,0.6524759315308848,75,0.02793952452410509
0.7570227924733798,0.6524759315308848,0.878321299882411,142,0.03929679879990341
1.0190555865651236,0.878321299882411,1.1823398665711722,265,0.05447858063535919
1.3717873475336686,1.1823398665711722,1.5915901849023721,423,0.06459982757693188
1.8466122473223885,1.5915901849023721,2.142496745900836,581,0.06591408157163198
2.4857911090168803,2.142496745900836,2.884091865945531,783,0.06598951190111743
3.3462127453271413,2.884091865945531,3.8823797082201787,943,0.05903858336660499
4.50445723149208,3.8823797082201787,5.226210848820611,961,0.044694975570489966
6.063611758898384,5.226210848820611,7.035190241309912,860,0.02971288684833258
8.1624457005826,7.035190241309912,9.470322411999778,666,0.01709352802324802
10.987761496633768,9.470322411999778,12.748341339881973,528,0.010067055964597513
14.791020624895584,12.748341339881973,17.161000422986163,380,0.0053822422155695975
19.91072441762688,17.161000422986163,23.1010393953303,225,0.0023674087098540485
26.802541683122165,23.1010393953303,31.097139327017267,185,0.001446017445852583
36.0798645798907,31.097139327017267,41.860976806065324,151,0.0008767783811647296
48.56840233637172,41.860976806065324,56.350565263586816,96,0.00041409043587331307
65.37967181901278,56.350565263586816,75.85552100794908,60,0.00019225883150664953
88.00992582703807,75.85552100794908,102.11184289761913,51,0.0001213993343543693
118.47332402528573,102.11184289761913,137.45642138369055,38,6.719559552636732e-05
159.48119912275024,137.45642138369055,185.03502868472123,36,4.729016101215849e-05
214.68337351792275,185.03502868472123,249.08230183575836,59,5.75746603809984e-05
288.9930043074356,249.08230183575836,335.2986379325638,84,6.0893332257882016e-05
389.02386882636335,335.2986379325638,451.3575463645916,140,7.539274768489323e-05
523.6790104290338,451.3575463645916,607.5886138888446,203,8.120984002129035e-05
704.9431357291244,607.5886138888446,817.8968684599549,303,9.004639422556177e-05
948.9492890014436,817.8968684599549,1101.000367921613,489,0.00010795521799665788
1277.4147409279335,1101.000367921613,1482.0961626201351,670,0.0001098805092644135
1719.5738900411325,1482.0961626201351,1995.1029075493684,783,9.53934826076228e-05
2314.7802108211417,1995.1029075493684,2685.679723153118,870,7.873852520296622e-05
3116.00882953683,2685.679723153118,3615.2899923420687,696,4.679380321169654e-05
4194.571467460036,3615.2899923420687,4866.671783701577,541,2.702013105310244e-05
5646.463395370136,4866.671783701577,6551.201784765742,378,1.4024683433999645e-05
7600.907297107241,6551.201784765742,8818.808157240112,432,1.1906828419492445e-05
10231.854471347535,8818.808157240112,11871.3145876617,401,8.210465914248233e-06
13773.467012639132,11871.3145876617,15980.403193546008,452,6.875003853541965e-06
18540.958931687535,15980.403193546008,21511.795036896237,365,4.1241880246515e-06
24958.651136352823,21511.795036896237,28957.800382428904,437,3.668074186434275e-06
33597.73724979981,28957.800382428904,38981.135769950495,431,2.6874786643910427e-06
45227.121535524435,38981.135769950495,52473.907750166516,391,1.8111548935853841e-06
60881.853655227525,52473.907750166516,70637.01301119087,150,5.16156233489299e-07
81955.25115577226,70637.01301119087,95087.02174229259,118,3.016358841057837e-07
110322.90885954317,95087.02174229259,128000.05717097365,9,1.7090492951307267e-08
148509.63236141385,128000.05717097365,172305.47697851888,8,1.1285301034769787e-08
199914.15320821165,172305.47697851888,231946.59481392335,4,4.191739006132338e-09
269111.62607753044,231946.59481392335,312231.6468935083,1,7.784761718538215e-10
362260.83110116626,312231.6468935083,420306.24075357366,1,5.783042782554874e-10
487652.32354658534,420306.24075357366,565789.3354950419,1,4.296031790570998e-10
656446.3178023609,565789.3354950419,761629.3576464105,0,0.0
883665.9795287786,761629.3576464105,1025256.649493645,1,2.3707712339668237e-10
