delta_r_m,bin_low_m,bin_high_m,count,pdf
0.012088422221334825,0.011094793121856126,0.013171038900526564,9,0.02374761372000376
0.014350612722065264,0.013171038900526564,0.015635826987836787,0,0.0
0.017036142660142882,0.015635826987836787,0.01856186800752606,6,0.011233809872082147
0.02022423448794539,0.01856186800752606,0.02203547942790884,0,0.0
0.024008936106195377,0.02203547942790884,0.02615913190530817,15,0.01992807873193596
0.02850189525318999,0.02615913190530817,0.03105447214244031,0,0.0
0.033835653084777435,0.03105447214244031,0.036865911435306875,12,0.011312374383210264
0.04016755410485466,0.036865911435306875,0.04376488576981784,9,0.007146842465119717
0.04768438778834462,0.04376488576981784,0.05195491313991596,22,0.014716128004824046
0.05660789882335447,0.05195491313991596,0.06167759727680531,35,0.019721416107264928
0.06720132852326133,0.06167759727680531,0.07321975489777396,43,0.020409749944782476
0.07977718037872379,0.07321975489777396,0.0869218767266445,78,0.031186239310029413
0.09470643883143524,0.0869218767266445,0.10318817188381058,117,0.0394051914970399
0.11242951322110727,0.10318817188381058,0.12249849195281957,165,0.04681129988161367
0.1334692297493451,0.12249849195281957,0.14542248648044226,266,0.0635693205550017
0.15844625472005602,0.14542248648044226,0.17263640749389372,311,0.0626073754452238
0.18809740403807246,0.17263640749389372,0.20494305876420255,471,0.0798702773345005
0.22329737909155772,0.20494305876420255,0.24329547831394135,557,0.07956437518852214
0.26508457022121595,0.24329547831394135,0.288825052797293,878,0.10564699620864834
0.3146916889721052,0.288825052797293,0.3428748931195361,1169,0.1184885336673963
0.3735821327717185,0.3428748931195361,0.4070394558682661,1572,0.13421885564650485
0.4434931547831154,0.4070394558682661,0.4832115793785252,2173,0.1562859339783973
0.5264871124328305,0.4832115793785252,0.5736383219838433,2873,0.17405839249875832
0.6250123064321377,0.5736383219838433,0.6809872496674356,3641,0.18581432729995107
0.7419752050273755,0.6809872496674356,0.8084251285824651,4469,0.1921179966614976
0.8808261840764103,0.8084251285824651,0.9597113438507715,5382,0.19489494020338546
1.045661312261755,0.9597113438507715,1.1393088004709393,6294,0.1919918465337144
1.241343184078329,1.1393088004709393,1.3525155778843907,7280,0.1870624432713193
1.4736443651383662,1.3525155778843907,1.605621221975813,7699,0.16664363064472507
1.7494176813935984,1.605621221975813,1.9060922850823256,8245,0.15032950778666687
2.076798375763609,1.9060922850823256,2.2627925873946224,8445,0.1297037120634003
2.4654440957396333,2.2627925873946224,2.686244697405563,8245,0.10667007189968078
2.9268197915372856,2.686244697405563,3.188940345013194,8161,0.08893945868600835
3.4745359292214966,3.188940345013194,3.785708924386022,8247,0.07570878468710943
4.1247499960051055,3.785708924386022,4.494154957331653,8194,0.06336441299854417
4.896643142025638,4.494154957331653,5.3351774222272965,7836,0.05104380722733586
5.812986019411841,5.3351774222272965,6.333586268583874,7818,0.0428986351260915
6.900810510748996,6.333586268583874,7.518834304267153,7728,0.03572021779788004
8.192207162762474,7.518834304267153,8.925886045863342,7482,0.02913156825661544
9.725271849311016,8.925886045863342,10.596249163054727,7654,0.025103472186858346
11.545229590008066,10.596249163054727,12.579198944352854,7337,0.020270433308369237
13.70576867683559,12.579198944352854,14.9332319056181,7116,0.016560735807142787
16.270624465147282,14.9332319056181,17.727791422448394,6862,0.013452208173371791
19.315459550494264,17.727791422448394,21.04531629215507,6152,0.010159173296940853
22.93009579601301,21.04531629215507,24.98367265738499,5345,0.0074351361838301995
27.221164054617553,24.98367265738499,29.65904103251893,4439,0.005201463307751392
32.31524975212896,29.65904103251893,35.20934359939354,3548,0.0035020567668259564
38.36262712524703,35.20934359939354,41.79831287670152,2755,0.002290658510387854
45.541692273437626,41.79831287670152,49.62032178778598,2134,0.0014946253288137268
54.064225798642624,49.62032178778598,58.906117612604746,1408,0.0008306914752994412
64.18164027934978,58.906117612604746,69.92962897399318,785,0.0003901269314462127
76.19239687792358,69.92962897399318,83.01604666259567,442,0.00018503663441581252
90.45080986923367,83.01604666259567,98.5514166827521,289,0.00010191367679239234
107.37749882194305,98.5514166827521,116.99402851176143,163,4.841962347896236e-05
127.47179676915441,116.99402851176143,138.8879345232828,79,1.9767878860816265e-05
151.32648040630326,138.8879345232828,164.8789993944394,35,7.377346811053002e-06
179.6452568534011,164.8789993944394,195.7339529500617,12,2.1306522749319176e-06
213.26352283668257,195.7339529500617,232.3630084981528,24,3.5895644046782633e-06
253.17300868025205,232.3630084981528,275.8467138917274,8,1.0079051664859513e-06
