delta_r_m,bin_low_m,bin_high_m,count,pdf
0.25845512334917176,0.23425972904258846,0.28514952637587787,1,0.0039050684089601013
0.31460104693896,0.28514952637587787,0.3470944524895497,0,0.0
0.3829439225368984,0.3470944524895497,0.4224960864575076,2,0.005271189215582794
0.46613337506279434,0.4224960864575076,0.5142777183316812,1,0.0021652277895543763
0.5673946250615735,0.5142777183316812,0.6259976838839669,0,0.0
0.6906535291651116,0.6259976838839669,0.761987319807144,2,0.0029226953738868094
0.8406887839243447,0.761987319807144,0.9275188878406415,2,0.0024010905263024533
1.0233171938910512,0.9275188878406415,1.1290099781698169,5,0.0049314374045013355
1.2456191867159412,1.1290099781698169,1.374272316733686,3,0.002430802964714364
1.5162133183897932,1.374272316733686,1.6728146225971618,10,0.0066566156957161525
1.84559041108191,1.6728146225971618,2.036211257042411,19,0.01039039523288838
2.246520277961188,2.036211257042411,2.4785509567515844,19,0.008536051954346651
2.7345468035523015,2.4785509567515844,3.016983048280163,29,0.010703515165436255
3.32859057368691,3.016983048280163,3.6723823203293278,50,0.015160845333507096
4.051682418762976,3.6723823203293278,4.470158330639401,58,0.014447955272542586
4.931856309479867,4.470158330639401,5.441240523996663,65,0.013301993571874084
6.003236222246296,5.441240523996663,6.623277353969821,92,0.015467359736700699
7.307359111581817,6.623277353969821,8.062095897828092,146,0.020165370087787213
8.894785280602777,8.062095897828092,9.81347855330545,158,0.017928147230834787
10.82705858298805,9.81347855330545,11.94532569900716,191,0.01780478248560677
13.179092452641099,11.94532569900716,14.540288163904794,204,0.01562278494927663
16.04207426642805,14.540288163904794,17.698971565669584,227,0.014281674362534219
19.527000640929593,17.698971565669584,21.543836748711072,207,0.010699133260041406
23.76898072519436,21.543836748711072,26.223947540284893,254,0.010785417222739882
28.932474326367686,26.223947540284893,31.920749893203578,236,0.008232660730007517
35.21766794815223,31.920749893203578,38.85510647011412,181,0.005187185418543918
42.86823593846493,38.85510647011412,47.295859397255136,163,0.0038376537121817297
52.18078764276364,47.295859397255136,57.57025316210275,131,0.002533812400355291
63.51636682525682,57.57025316210275,70.07662174632048,119,0.0018909284889053878
77.31444918578305,70.07662174632048,85.29983186889129,136,0.00177538290606363
94.10998065028035,85.29983186889129,103.83008106755908,108,0.0011582488114213253
114.55411700229449,103.83008106755908,126.38577941239272,133,0.0011718033378189396
139.4394689224312,126.38577941239272,153.84140196601217,97,0.0007021013467496842
169.7308311754541,153.84140196601217,187.26139181879736,75,0.00044597890539466005
206.6025873028563,187.26139181879736,227.9414281056821,68,0.0003321903013609228
251.4842399853119,227.9414281056821,277.45865894841864,56,0.00022474552080673578
306.11583226826116,277.45865894841864,337.7328468336283,55,0.00018133877996945428
372.6154083085412,337.7328468336283,411.1007970075721,60,0.00016251903407424423
453.56112906720915,411.1007970075721,500.4069544456087,61,0.00013573998570694476
552.0912265398823,500.4069544456087,609.1136818032414,46,8.409318041134297e-05
672.0256717086203,609.1136818032414,741.43549377915,75,0.00011263910515039976
818.014273231343,741.43549377915,902.5024521007352,72,8.883526591818939e-05
995.7169485934965,902.5024521007352,1098.55905588795,125,0.00012670329388668228
1212.0231567596988,1098.55905588795,1337.206338292276,232,0.00019319276546278356
1475.3189996381882,1337.206338292276,1627.6965553970383,211,0.0001443478473657191
1795.812347770976,1627.6965553970383,1981.2918923454108,202,0.00011352831914350869
2185.928595237775,1981.2918923454108,2411.701093583825,85,3.9246121698348796e-05
2660.7923870270542,2411.701093583825,2935.610945194047,119,4.513877449711089e-05
3238.8139952444403,2935.610945194047,3573.3332146633816,214,6.668705794918399e-05
3942.4030777206935,3573.3332146633816,4349.592129679334,126,3.225695079774555e-05
4798.83749114422,4349.592129679334,5294.482926174762,57,1.198816203584179e-05
5841.320842242624,5294.482926174762,6444.638628133296,19,3.282890005029707e-06
7110.269777833698,6444.638628133296,7844.650294723959,4,5.677899538896197e-07
8654.880921446806,7844.650294723959,9548.795797156663,9,1.049530839114557e-06
10535.03820599702,9548.795797156663,11623.144149219886,2,1.9160536821787732e-07
12823.634549008166,11623.144149219886,14148.116975521896,1,7.870506083650058e-08
15609.397880769535,14148.116975521896,17221.606424496258,1,6.465880010452842e-08
19000.331089364805,17221.606424496258,20962.770406364256,3,1.5935800264391272e-07
23127.899247814203,20962.770406364256,25516.652295855427,5,2.1819641431984464e-07
