species,common_name,n_individuals,alpha,zeta,mu,gamma,beta,eta,alpha_ci,zeta_ci,mu_ci,gamma_ci,beta_ci,eta_ci
Loxodonta africana,elephant,14,3.403,0.280,0.821,0.094,1.894,1.033,"[3.079,3.800]","[0.176,0.422]","[0.772,0.871]","[0.035,0.156]","[0.983,2.996]","[0.965,1.102]"
Morus bassanus,gannet,25,2.831,0.894,0.934,-0.125,1.199,0.648,"[2.440,3.929]","[0.796,0.970]","[0.836,1.011]","[-0.204,-0.033]","[0.727,3.524]","[0.520,0.778]"
Ciconia ciconia,stork,92,3.482,0.860,1.984,-0.561,1.064,1.090,"[3.302,3.695]","[0.798,0.939]","[1.788,2.154]","[-0.603,-0.521]","[0.793,2.842]","[1.008,1.184]"
Phoebastria irrorata,albatross,28,3.900,1.635,1.349,-0.151,1.139,0.957,"[3.431,4.398]","[1.441,1.794]","[1.101,1.643]","[-0.418,0.097]","[0.666,1.430]","[0.731,1.160]"
Eidolon helvum (Scharf 2019),bat_scharf,63,3.237,0.710,0.760,-0.425,0.713,0.772,"[2.663,4.091]","[0.563,0.853]","[0.621,0.946]","[-0.579,-0.282]","[0.656,0.761]","[0.620,0.912]"
Eidolon helvum (Abedi-Lartey 2016),bat_abedi,28,4.293,0.970,0.840,-0.570,0.778,0.665,"[2.425,6.327]","[0.806,1.160]","[0.574,1.130]","[-0.862,-0.234]","[0.697,0.868]","[0.488,0.857]"
Caretta caretta (Mediterranean),turtle_med,11,3.562,0.262,0.914,0.022,44.530,0.437,"[2.891,4.065]","[0.123,0.360]","[0.827,0.991]","[-0.057,0.120]","[18.567,134.723]","[-0.032,0.733]"
Caretta caretta (N. Pacific),turtle_pac,12,2.720,0.290,0.935,-0.014,2.328,1.130,"[2.361,3.081]","[0.172,0.409]","[0.840,1.032]","[-0.084,0.071]","[1.522,3.247]","[0.263,1.611]"
Equus quagga burchellii,zebra,7,5.744,0.559,0.974,-0.089,3.372,0.747,"[2.472,8.727]","[0.394,0.786]","[0.846,1.096]","[-0.256,0.054]","[1.910,4.403]","[0.505,0.942]"
Papio anubis (Mpala),baboon,26,4.353,1.576,0.496,,3.149,0.346,"[4.196,4.510]","[1.542,1.625]","[0.454,0.558]",,"[0.790,12.703]","[0.180,0.541]"
Procapra gutturosa,gazelle,36,2.287,0.380,0.921,-0.106,1.558,0.532,"[2.123,2.502]","[0.270,0.518]","[0.883,0.964]","[-0.181,-0.040]","[0.600,3.718]","[0.356,0.691]"
Homo sapiens (literature),human,10^5-10^7 (multi-study),1.75,1.2,0.6,0.21,0.8,2.05,"[1.45,2.05]","[1.00,1.40]","[0.56,0.64]","[0.17,0.25]","[0.60,1.00]","[2.014,2.086]"
