delta_r_m,bin_low_m,bin_high_m,count,pdf
0.001195426056031129,0.001,0.00142904345543814,0,0.0
0.001708315781831512,0.00142904345543814,0.002042165197530579,0,0.0
0.0024412574878480116,0.002042165197530579,0.00291834281045461,0,0.0
0.0034886630360485556,0.00291834281045461,0.004170438694005109,0,0.0
0.004985451079894139,0.004170438694005109,0.005959738121973984,0,0.0
0.007124426238129731,0.005959738121973984,0.008516724759332121,56751,1.692671472614947
0.010181114689351064,0.008516724759332121,0.012170769779091536,53914,1.125266203292372
0.014549255315882251,0.012170769779091536,0.017392558900455057,137697,2.0110958232375062
0.020791518090660096,0.017392558900455057,0.024854722470017666,204631,2.0913863871989298
0.029711982856081502,0.024854722470017666,0.03551847848251003,275291,1.9688354855155183
0.042459714648573496,0.03551847848251003,0.050757449222551376,357989,1.7916025082593625
0.060676777338314884,0.050757449222551376,0.07253460062622075,335724,1.1757336095848483
0.08670975155239614,0.07253460062622075,0.10365509631772002,333542,0.8173943613168092
0.12391200297861883,0.10365509631772002,0.14812763701564782,285997,0.4904527241669033
0.17707563690682657,0.14812763701564782,0.2116808302467279,269133,0.32296628701257324
0.25304878003924086,0.2116808302467279,0.30250110510579836,299908,0.25184472193199275
0.36161770302168256,0.30250110510579836,0.432287224514246,394962,0.23208906605386703
0.5167674118737083,0.432287224514246,0.6177572290616011,490448,0.20167260124715028
0.7384830879218286,0.6177572290616011,0.882801925240081,276688,0.07961571889431057
1.0553244237464376,0.882801925240081,1.2615623137125278,256420,0.05163152555386498
1.5081044611188739,1.2615623137125278,1.8028273680382874,373234,0.052589473795909586
2.1551468102789904,1.8028273680382874,2.5763186515798813,510622,0.05034678153400182
3.0797984447375737,2.5763186515798813,3.681671308163443,622118,0.04292393440933942
4.401165811520792,3.681671308163443,5.261268288005343,718775,0.0347035803792284
6.289457199251878,5.261268288005343,7.518581014278263,967802,0.03269809113761569
8.987907648849195,7.518581014278263,10.744378992635815,1734477,0.04100709408294525
12.844110603670346,10.744378992635815,15.354184482173245,1617003,0.0267519743696019
18.354792199098725,15.354184482173245,21.94179684783952,652641,0.007555686538004599
26.229795668049057,21.94179684783952,31.35578118595828,320782,0.0025987477965957752
37.48351783690518,31.35578118595828,44.80877389394403,288310,0.0016344378614284822
53.565575851628125,44.80877389394403,64.0336850793481,274061,0.001087202671015339
76.54753560754446,64.0336850793481,91.50691859022928,224290,0.000622626711033393
109.38975478987938,91.50691859022928,130.7673631386778,149102,0.00028963822072038874
156.32271317446006,130.7673631386778,186.8722444782302,83485,0.00011348420460529524
223.39195019829563,186.8722444782302,267.0485579746509,60831,5.7863738194988736e-05
319.2368044284372,267.0485579746509,381.62399405786755,56538,3.76336669689767e-05
456.20326610344364,381.62399405786755,545.3572711465592,58314,2.716210933603939e-05
651.9342917746303,545.3572711465592,779.3392392075937,58209,1.8972971904070642e-05
931.6424330362343,779.3392392075937,1113.7096393557506,64080,1.4615789949147771e-05
1331.3575217388961,1113.7096393557506,1591.5394713797066,65401,1.0438515570528333e-05
1902.5677532893126,1591.5394713797066,2274.3790656466513,65618,7.328783769772316e-06
2718.8519963657404,2274.3790656466513,3250.1865189478585,57393,4.485619284764328e-06
3885.3576517113825,3250.1865189478585,4644.657773855707,36158,1.977527123260679e-06
5552.344924214652,4644.657773855707,6637.417794478379,14500,5.549330814317162e-07
7934.542176284122,6637.417794478379,9485.158460207978,5473,1.4657254403856267e-07
11338.805568916721,9485.158460207978,13554.703621353918,1932,3.6206693407718104e-08
16203.645890745975,13554.703621353918,19370.26050049947,805,1.0556797412847413e-08
23155.71411440764,19370.26050049947,27680.943998370676,410,3.76248457761168e-09
33090.52171119081,27680.943998370676,39557.27186122128,284,1.8237435813811453e-09
47287.793488410905,39557.27186122128,56529.06046826555,201,9.032252260617497e-10
67576.31180672388,56529.06046826555,80782.48390424176,68,2.1382746062213573e-10
96569.48613004597,80782.48390424176,115441.6799373938,39,8.581708081938882e-11
138001.9921491664,115441.6799373938,164971.17719931668,18,2.7716360411838808e-11
197210.84371819184,164971.17719931668,235750.9811126097,15,1.616253650088194e-11
281822.8655569159,235750.9811126097,336898.3966720947,7,5.278017967223038e-12
402737.12161693344,336898.3966720947,481442.44891186035,3,1.5828823760610514e-12
575528.847908673,481442.44891186035,688002.1807876037,2,7.384344495321932e-13
822455.7335197418,688002.1807876037,983185.013781695,6,1.5502001287409066e-12
1175324.9833739605,983185.013781695,1405014.109429583,2,3.6159388595257913e-13
