delta_r_m,bin_low_m,bin_high_m,count,pdf
0.9581821264688897,0.8683037499959028,1.057363840117903,2,0.0010946447885990054
1.1668118821095317,1.057363840117903,1.2875889231091704,1,0.0004494593718790318
1.42086763113525,1.2875889231091704,1.567942057417594,2,0.0007381891516733714
1.7302402008093198,1.567942057417594,1.9093378727447117,0,0.0
2.106973997362959,1.9093378727447117,2.3250674953522004,1,0.00024890413279438274
2.565735915445234,2.3250674953522004,2.831315994466819,1,0.00020439926512972237
3.1243863455575283,2.831315994466819,3.4477924948623135,2,0.00033570402481090017
3.804674509774072,3.4477924948623135,4.198497486984829,1,0.00013783952721492691
4.633085196364056,4.198497486984829,5.112657207324733,3,0.0003395801156724936
5.641869858150474,5.112657207324733,6.225861466069753,0,0.0
6.870302217038201,6.225861466069753,7.5814492196269505,1,7.63335467737293e-05
8.366207257555129,7.5814492196269505,9.232195830734875,4,0.00025073944237293417
10.18782313575463,9.232195830734875,11.242367704103994,2,0.00010295320769623761
12.406068490795262,11.242367704103994,13.690224288084657,7,0.0002959069387825267
15.107303429537065,13.690224288084657,16.671064849590802,6,0.0002082838428763906
18.396691674033487,16.671064849590802,20.300938638467365,13,0.00037059103256397927
22.40229476610333,20.300938638467365,24.721162884381254,10,0.00023409857834183018
27.28005772340842,24.721162884381254,30.103824519625626,9,0.0001730168927265658
33.219880247203,30.103824519625626,36.65847981936856,13,0.00020522798133251128
40.4530098443145,36.65847981936856,44.64031278786382,11,0.00014260446661879534
49.26104469030976,44.64031278786382,54.36006991063063,32,0.0003406729444287923
59.98689673079421,54.36006991063063,66.19615804959189,27,0.00023604709084488302
73.04814183323286,66.19615804959189,80.6093764730354,29,0.00020819970435531626
88.9532767336647,80.6093764730354,98.16085656366292,51,0.00030067651580066953
108.3215156892067,98.16085656366292,119.53390762841578,49,0.00023723165321830602
131.90689755407797,119.53390762841578,145.56061930502642,82,0.00032601503575165915
160.62764180907533,145.56061930502642,177.25425624273672,71,0.00023180849578970835
195.60189642521803,177.25425624273672,215.8487062378198,89,0.00023862076249994468
238.1912692873764,215.8487062378198,262.846517607668,128,0.00028182233866916285
290.05383793107677,262.846517607668,320.07739598104155,154,0.00027844113032153025
353.2087013527081,320.07739598104155,389.7694378851293,192,0.00028507630320570137
430.1145870061247,389.7694378851293,474.6358743754839,244,0.0002975068285532467
523.7655732912222,474.6358743754839,577.9807017875353,292,0.0002923729473910368
637.8076541755981,577.9807017875353,703.8273119965136,342,0.00028120799431081815
776.6806840105025,703.8273119965136,857.0751299830353,453,0.0003058771120912319
945.7912286968929,857.0751299830353,1043.69035687418,481,0.0002667110922433483
1151.7230525947805,1043.69035687418,1270.9382444147168,527,0.00023996828027052341
1402.4934357932664,1270.9382444147168,1547.6659437131218,543,0.00020304405395534837
1707.865300613429,1547.6659437131218,1884.646940050561,552,0.00016950274917228977
2079.7272989656603,1884.646940050561,2295.0004831923393,584,0.00014726438844291895
2532.556658015979,2295.0004831923393,2794.702342345229,562,0.00011637734069774764
3083.982803539169,2794.702342345229,3403.206770329613,594,0.00010101032788155303
3755.4737037852697,3403.206770329613,4144.2038911014115,562,7.848070104423953e-05
4573.1716544065775,4144.2038911014115,5046.541997022611,501,5.745284065587921e-05
5568.911042989854,5046.541997022611,6145.350662499477,512,4.82159761884828e-05
6781.457716517445,6145.350662499477,7483.408398733979,470,3.634679180371445e-05
8258.018202464184,7483.408398733979,9112.808094740196,384,2.4386342672790544e-05
10056.077540103075,9112.808094740196,11096.98508310885,317,1.6531868129793195e-05
12245.637271953468,11096.98508310885,13513.186786608307,235,1.0064165150166619e-05
14911.940724227832,13513.186786608307,16455.48009321171,194,6.8227403658924726e-06
18158.791676132332,16455.48009321171,20038.41354183276,123,3.5522984697136804e-06
22112.59561952474,20038.41354183276,24401.476893958876,74,1.7550248873834333e-06
26927.28094211883,24401.476893958876,29714.531709976334,53,1.0322256617125756e-06
32790.29162436158,29714.531709976334,36184.424351863134,30,4.798077506980531e-07
39929.884755979096,36184.424351863134,44063.03886781817,20,2.626777106114314e-07
48624.016977062005,44063.03886781817,53657.10327147677,13,1.4021155361263892e-07
59211.16580812534,53657.10327147677,65340.130991026184,3,2.6571062829604546e-08
72103.50716213384,65340.130991026184,79566.96238937607,2,1.4546713641950495e-08
87802.96206170057,79566.96238937607,96891.47248177213,4,2.38914279573124e-08
