delta_r_m,bin_low_m,bin_high_m,count,pdf
1.1135093558912288,0.9608551858691499,1.2904161874671407,2,0.00036118790700909745
1.4954287793518015,1.2904161874671407,1.7330123845571834,2,0.0002689436763840601
2.0083416652783552,1.7330123845571834,2.3274133990240666,2,0.00020025781501359136
2.697177090734701,2.3274133990240666,3.125686335669704,1,7.455686077695532e-05
3.622274229806324,3.125686335669704,4.19775664825554,3,0.00016654707298799904
4.864667819177169,4.19775664825554,5.637533324084521,4,0.00016534987737659265
6.533186470590128,5.637533324084521,7.5711349283124845,3,9.234072427747629e-05
8.773985613414691,7.5711349283124845,10.167937075923508,7,0.000160434659906522
11.78335011421376,10.167937075923508,13.655409044860807,9,0.00015359278083566178
15.824888030572493,13.655409044860807,18.339039157117334,14,0.00017790348913602761
21.252621601905634,18.339039157117334,24.629094309910585,15,0.00014193053022691754
28.541998153869148,24.629094309910585,33.076557682742795,18,0.0001268192578421115
38.331537345135054,33.076557682742795,44.42139261692496,33,0.0001731230035499047
51.478762885502604,44.42139261692496,59.65736038658325,40,0.00015625321633463892
69.13531811575359,59.65736038658325,80.11906963354994,73,0.00021233420991980813
92.84784526771328,80.11906963354994,107.59888264163381,66,0.00014294507011424913
124.69346501629619,107.59888264163381,144.50391896313275,99,0.0001596572252204517
167.46172377978777,144.50391896313275,194.06690927498414,157,0.00018853030538569347
224.89894660985595,194.06690927498414,260.62936940245646,222,0.00019850096806797157
302.03639998794563,260.62936940245646,350.0218994000238,291,0.00019374512325052027
405.6310102507185,350.0218994000238,470.07492033799093,382,0.00018937789708729346
544.7572427812846,470.07492033799093,631.3045872545003,514,0.00018973925099271258
731.6019881695962,631.3045872545003,847.8339614502626,748,0.00020560032497474116
982.5320841279776,847.8339614502626,1138.630133062321,839,0.00017171660591872083
1319.527983728059,1138.630133062321,1529.1656608091348,1045,0.00015925561791345876
1772.1091534499415,1529.1656608091348,2053.649864253026,1264,0.00014343451889341035
2379.919858060597,2053.649864253026,2758.025420682579,1402,0.00011846300821491447
3196.201836531606,2758.025420682579,3703.9927562813195,1586,9.978518393625256e-05
4292.458061244472,3703.9927562813195,4974.414751836857,1553,7.275493733986044e-05
5764.71610677033,4974.414751836857,6680.5751931694085,1436,5.009260200859605e-05
7741.93977378608,6680.5751931694085,8971.926776935978,1339,3.477986279701774e-05
10397.32579207804,8971.926776935978,12049.18255736481,1142,2.208724392301161e-05
13963.4751477464,12049.18255736481,16181.897591264791,893,1.2860416039863791e-05
18752.767981002384,16181.897591264791,21732.080861711947,593,6.358964331543611e-06
25184.726812513014,21732.080861711947,29185.905788634507,390,3.1140418061024008e-06
33822.76500532955,29185.905788634507,39196.2970377034,259,1.5398830259610794e-06
45423.53947779815,39196.2970377034,52640.124058310284,146,6.463517954974958e-07
61003.230763835156,52640.124058310284,70695.01127131612,87,2.867896622265558e-07
81926.55628354638,70695.01127131612,94942.49316577183,55,1.3500040314375842e-07
110026.31402368573,94942.49316577183,127506.55027040116,22,4.02089926381704e-08
147763.92816684235,127506.55027040116,171239.66118597312,21,2.857906016798977e-08
198445.0598117413,171239.66118597312,229972.66807785167,14,1.4186812201304447e-08
266509.16940446093,229972.66807785167,308850.3428268751,3,2.2636338249906483e-09
357918.39536865684,308850.3428268751,414782.04806488834,4,2.2473620741127345e-09
480679.81311689113,414782.04806488834,557046.9691637752,2,8.367027337417999e-10
645546.8222025984,557046.9691637752,748106.9330319825,0,0.0
866961.100266828,748106.9330319825,1004698.0133303165,0,0.0
1164317.6351040576,1004698.0133303165,1349296.5422721608,2,3.4542645543065757e-10
1563663.6464970282,1349296.5422721608,1812087.9456631737,0,0.0
2099980.2164448574,1812087.9456631737,2433610.863100733,0,0.0
2820246.489287539,2433610.863100733,3268308.1674793875,0,0.0
3787554.853161419,3268308.1674793875,4389295.938629414,0,0.0
5086637.575898778,4389295.938629414,5894768.133730505,0,0.0
6831289.006137781,5894768.133730505,7916597.977509592,0,0.0
9174333.494191054,7916597.977509592,10631889.518926105,0,0.0
12321012.181890147,10631889.518926105,14278491.223601334,0,0.0
16546961.289602762,14278491.223601334,19175830.52942156,0,0.0
22222356.72504696,19175830.52942156,25752894.38741907,0,0.0
29844339.983168934,25752894.38741907,34585806.76920329,0,0.0
