delta_r_m,bin_low_m,bin_high_m,count,pdf
0.17019063297226306,0.15343294904978974,0.18877856243315974,10,0.0052637358702703925
0.20939663371566644,0.18877856243315974,0.2322665754326725,9,0.003850370807292449
0.2576343330164297,0.2322665754326725,0.2857727136380884,1,0.00034771706436462994
0.31698432000081656,0.2857727136380884,0.3516048045567777,4,0.0011304515498530867
0.3900064791441146,0.3516048045567777,0.43260231886230266,9,0.0020672853624726212
0.479850403243911,0.43260231886230266,0.5322588424835388,26,0.004853971544278115
0.5903912417010384,0.5322588424835388,0.6548727620022093,23,0.0034899376810736
0.7263968435181616,0.6548727620022093,0.8057326627235237,100,0.012332632603706047
0.893733404230174,0.8057326627235237,0.9913454360121171,105,0.01052473211906353
1.0996184867327068,0.9913454360121171,1.2197169346221197,88,0.007169194810059033
1.3529323293066913,1.2197169346221197,1.5006972812510089,173,0.011455123363289046
1.6646008681810802,1.5006972812510089,1.8464057241706573,252,0.013561888395254258
2.048066995168301,1.8464057241706573,2.271753364814646,329,0.014390685471256324
2.51987037666342,2.271753364814646,2.795086303615501,325,0.011554067544638986
3.100360842768257,2.795086303615501,3.4389769442671847,480,0.013869433939983513
3.814576116450218,3.4389769442671847,4.23119758695943,561,0.013174869378695449
4.69332174096229,4.23119758695943,5.205918303621045,625,0.011929697517611037
5.774499784968903,5.205918303621045,6.405180761944048,710,0.011014726587111877
7.104743635105888,6.405180761944048,7.880711567187239,760,0.009582855132190095
8.741429387870253,7.880711567187239,9.696153334843425,873,0.008946672338521635
10.755150596223148,9.696153334843425,11.92980972482806,959,0.007987885913376694
13.232763111711362,11.92980972482806,14.678022836042569,1049,0.007101575234630168
16.281131352280685,14.678022836042569,18.05932863514236,1166,0.006415695043089142
20.03173757985723,18.05932863514236,22.21956965152161,1275,0.005701922428774659
24.646352995122413,22.21956965152161,27.338185459347162,1397,0.005077775360975974
30.32401525522126,27.338185459347162,33.63595226780097,1455,0.004298392096460752
37.309613368796285,33.63595226780097,41.38450544364708,1559,0.003743304089938065
45.90445025216057,41.38450544364708,50.91805569170002,1784,0.0034815272719664996
56.47923853093173,50.91805569170002,62.64780423565661,1928,0.0030580736376712996
69.49009012222612,62.64780423565661,77.07967875507292,1924,0.0024803440995429054
85.49818926029785,77.07967875507292,94.83615506517162,2168,0.0022716012708215547
105.19399750284184,94.83615506517162,116.68310575247875,2255,0.0019203718412293593
129.42703472863397,116.68310575247875,143.56283380202333,2363,0.0016355674634893345
159.2425206409187,143.56283380202333,176.63471602297133,2456,0.0013816532445633074
195.92645719838367,176.63471602297133,217.32520930550157,2452,0.0011211329650988816
241.0610964697712,217.32520930550157,267.38937657950424,2455,0.0009123345271500071
296.5931863524133,267.38937657950424,328.98658621361324,2486,0.0007508785473919408
364.91793772998324,328.98658621361324,404.7736499221246,2439,0.0005987511086955264
448.98233474209553,404.7736499221246,498.0194164053084,2335,0.00046589427423118036
552.4122441457604,498.0194164053084,612.7457633776353,2245,0.0003640682375573516
679.6688062514637,612.7457633776353,753.9010692540522,2208,0.0002910257874357902
836.2408528899288,753.9010692540522,927.5736466775369,2009,0.00021521785497044708
1028.8816517840148,927.5736466775369,1141.2543437058373,1495,0.00013016838373200313
1265.900188587343,1141.2543437058373,1404.159639175509,1127,7.975431579727605e-05
1557.5195501706485,1404.159639175509,1727.6291679970193,999,5.745948427565505e-05
1916.3178669487988,1727.6291679970193,2125.614822447551,841,3.931499177480642e-05
2357.770832979169,2125.614822447551,2615.2825253854066,652,2.477283710627541e-05
2900.919203815895,2615.2825253854066,3217.7526310767144,505,1.5595003883002835e-05
3569.190062646855,3217.7526310767144,3959.0108886133785,228,5.722620074433335e-06
4391.407277575991,3959.0108886133785,4871.0292596092495,52,1.060789881526082e-06
5403.034733108702,4871.0292596092495,5993.144933299138,11,1.82383131368316e-07
6647.705958918274,5993.144933299138,7373.7570187394895,2,2.6951809995696587e-08
8179.106131862884,7373.7570187394895,9072.414095862478,1,1.0952768250191284e-08
10063.28762579066,9072.414095862478,11162.382665665142,1,8.90204645710633e-09
12381.518983459637,11162.382665665142,13733.807281963167,1,7.235287857304657e-09
15233.790192469676,13733.807281963167,16897.598667556987,3,1.764180538608746e-08
18743.125454817244,16897.598667556987,20790.21751709108,0,0.0
23060.889468510242,20790.21751709108,25579.560321659177,0,0.0
28373.316091856246,25579.560321659177,31472.20108262481,1,3.1573275984376427e-09
